attack_signature,threat_name,threat_category,threat_description,mitigation_strategy,cve_references
SIG_00193,INAP Provide Subscriber Info Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00194,TCAP Update Location Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,CVE-2019-7420
SIG_00195,MAP Insert Subscriber Data Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,
SIG_00196,CAP Send Authentication Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00197,CAP Update Location Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00198,INAP Update Location Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00199,MAP Provide Subscriber Info Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,CVE-2020-2067
SIG_00200,CAP Send Routing Info Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00201,MAP Any Time Interrogation Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_00202,CAP Any Time Interrogation Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00203,CAP Send Routing Info Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential network probing,Alert security operations center,
SIG_00204,CAP Any Time Interrogation Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,CVE-2021-7538
SIG_00205,MAP Send Authentication Info Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
SIG_00206,CAP Insert Subscriber Data Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00207,INAP Any Time Interrogation Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2024-2030
SIG_00208,TCAP Any Time Interrogation Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,
SIG_00209,MAP Provide Subscriber Info Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00210,CAP Send Authentication Info Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,
SIG_00211,TCAP Send Authentication Info Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00212,CAP Update Location Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00213,MAP Any Time Interrogation Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
SIG_00214,CAP Insert Subscriber Data Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,CVE-2018-3416
SIG_00215,MAP Any Time Interrogation Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential network probing,Alert security operations center,CVE-2019-4533
SIG_00216,MAP Any Time Interrogation Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00217,MAP Send Routing Info Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00218,CAP Send Authentication Info Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
SIG_00219,MAP Update Location Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00220,INAP Insert Subscriber Data Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00221,INAP Update Location Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00222,INAP Send Authentication Info Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00223,INAP Send Routing Info Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00224,CAP Send Authentication Info Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,
SIG_00225,TCAP Send Authentication Info Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,CVE-2021-6298
SIG_00226,TCAP Update Location Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,CVE-2018-2509
SIG_00227,MAP Insert Subscriber Data Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_00228,INAP Send Routing Info Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,CVE-2024-2253
SIG_00229,CAP Provide Subscriber Info Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00230,MAP Update Location Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00231,INAP Insert Subscriber Data Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,CVE-2018-6598
SIG_00232,MAP Insert Subscriber Data Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00233,TCAP Provide Subscriber Info Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,CVE-2021-5281
SIG_00234,INAP Send Routing Info Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,CVE-2018-3509
SIG_00235,TCAP Provide Subscriber Info Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,CVE-2020-8082
SIG_00236,MAP Any Time Interrogation Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00237,TCAP Update Location Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Alert security operations center,CVE-2018-9119
SIG_00238,CAP Insert Subscriber Data Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential network probing,Alert security operations center,
SIG_00239,CAP Provide Subscriber Info Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,CVE-2020-2015
SIG_00240,CAP Send Routing Info Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_00241,INAP Send Routing Info Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00242,MAP Insert Subscriber Data Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,
SIG_00243,CAP Update Location Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00244,CAP Send Authentication Info Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00245,CAP Insert Subscriber Data Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,CVE-2023-3887
SIG_00246,CAP Insert Subscriber Data Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2024-2200
SIG_00247,INAP Update Location Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,CVE-2024-8028
SIG_00248,MAP Insert Subscriber Data Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
SIG_00249,TCAP Send Authentication Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,CVE-2021-2568
SIG_00250,MAP Provide Subscriber Info Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00251,TCAP Send Authentication Info Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00252,INAP Send Routing Info Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,CVE-2023-7823
SIG_00253,INAP Insert Subscriber Data Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,
SIG_00254,INAP Send Routing Info Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_00255,INAP Send Authentication Info Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,CVE-2018-6140
SIG_00256,INAP Update Location Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
